지역,링크아이디,도로명,평균속도
서울특별시 종로구,1000006304,송월길,20.9
서울특별시 종로구,1000006401,송월길,12.3
서울특별시 종로구,1000006402,송월길,15.2
서울특별시 종로구,1000006403,송월길,22
서울특별시 종로구,1000006404,송월길,22.6
서울특별시 종로구,1000006501,우정국로,9.3
서울특별시 종로구,1000006502,우정국로,10.4
서울특별시 종로구,1000006601,우정국로,11.3
서울특별시 종로구,1000006602,우정국로,10.9
서울특별시 종로구,1000006701,종로3길,11.1
서울특별시 종로구,1000006702,종로3길,13.6
서울특별시 종로구,1000006801,종로3길,12.4
서울특별시 종로구,1000006802,종로3길,12.1
서울특별시 종로구,1000006901,삼일대로,6.6
서울특별시 종로구,1000006902,삼일대로,8.6
서울특별시 종로구,1000007001,삼일대로,13.3
서울특별시 종로구,1000007002,삼일대로,11.5
서울특별시 종로구,1000007100,돈화문로,11.7
서울특별시 종로구,1000007200,돈화문로,10.9
서울특별시 종로구,1000007301,새문안로5길,9.6
서울특별시 종로구,1000007303,새문안로5길,11.2
서울특별시 종로구,1000007304,새문안로5길,13.1
서울특별시 종로구,1000007401,새문안로5길,7.2
서울특별시 종로구,1000007403,새문안로5길,15.6
서울특별시 종로구,1000007404,새문안로5길,8.2
서울특별시 종로구,1000007501,삼봉로,12
서울특별시 종로구,1000007502,삼봉로,13.8
서울특별시 종로구,1000007601,삼봉로,11.7
서울특별시 종로구,1000007602,삼봉로,10.3
서울특별시 종로구,1000007701,수표로,7.4
서울특별시 종로구,1000007702,돈화문로11길,7.9
서울특별시 종로구,1000007801,수표로,8.1
서울특별시 종로구,1000007802,돈화문로11길,7.7
서울특별시 종로구,1000007901,사직로,23.5
서울특별시 종로구,1000007903,사직로,36.9
서울특별시 종로구,1000007904,사직로,41.7
서울특별시 종로구,1000007907,사직로,41.9
서울특별시 종로구,1000008001,사직로,24.7
서울특별시 종로구,1000008003,사직로,37
서울특별시 종로구,1000008004,사직로,44.2
서울특별시 종로구,1000008007,사직로,19.5
서울특별시 종로구,1000008101,경희궁길,23.8
서울특별시 종로구,1000008102,경희궁1길,16.1
서울특별시 종로구,1000008103,경희궁길,13
서울특별시 종로구,1000008104,경희궁길,13.7
서울특별시 종로구,1000008105,경희궁길,25.4
서울특별시 종로구,1000008201,경희궁길,25.9
서울특별시 종로구,1000008202,경희궁길,16.4
서울특별시 종로구,1000008203,경희궁길,11.7
서울특별시 종로구,1000008204,경희궁길,12.7
서울특별시 종로구,1000008205,경희궁길,23.3
서울특별시 종로구,1000008301,세종대로,21
서울특별시 종로구,1000008302,세종대로,19.7
서울특별시 종로구,1000008305,세종대로,31.9
서울특별시 종로구,1000008306,세종대로,13.3
서울특별시 종로구,1000008401,세종대로,16.1
서울특별시 종로구,1000008403,세종대로,24.9
서울특별시 종로구,1000008404,세종대로,16.2
서울특별시 종로구,1000008405,세종대로,5.2
서울특별시 종로구,1000008406,세종대로,15.2
서울특별시 종로구,1000008501,삼봉로,13.5
서울특별시 종로구,1000008502,종로1길,16.6
서울특별시 종로구,1000008601,삼봉로,11.8
서울특별시 종로구,1000008602,종로1길,15.3
서울특별시 종로구,1000008701,창경궁로,14.7
서울특별시 종로구,1000008702,창경궁로,21
서울특별시 종로구,1000008703,창경궁로,14.2
서울특별시 종로구,1000008801,창경궁로,18.3
서울특별시 종로구,1000008802,창경궁로,12.5
